Date/Time,SOUTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WINDOW LEFT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUWTH WINDOW RIGHT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly) 
 09/09  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/09  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.612947138761017,0.0 
 09/10  06:00:00,1.6321320711901013,1.6321320711901013,1.6321320711901013,1.81846075048735,1.6488256991513049,1.6321320711901013,3.1987304479845939,0.9792792427140609,1.09107645029241,0.9892954194907828,0.9792792427140609,1.9192382687907559,178.44331220020525,0.0 
 09/10  07:00:00,11.38352307528929,11.38352307528929,11.38352307528929,12.428019001146673,11.339199208077549,11.332900889374234,22.17854611995037,6.830113845173574,7.456811400688003,6.8035195248465289,6.799740533624538,13.307127671970223,352.56579885217817,0.0 
 09/10  08:00:00,39.752686639557229,39.752686639557229,39.752686639557229,44.365241416009087,38.17108337791468,38.17108337791468,75.37991002170475,23.85161198373433,26.619144849605449,22.902650026748807,22.902650026748807,45.22794601302285,397.34572171028017,0.0 
 09/10  09:00:00,130.81400591730324,130.81400591730324,130.81400591730324,162.55577453074788,101.34090338932235,101.34090338932235,224.59827323204343,78.48840355038195,97.53346471844871,60.804542033593417,60.804542033593417,134.75896393922609,184.8872711558835,0.0 
 09/10  10:00:00,268.1657197984003,268.1657197984003,268.1657197984003,300.0099098007727,148.14342575126177,148.14342575126177,393.98358532541206,160.89943187904016,180.00594588046358,88.88605545075706,88.88605545075706,236.39015119524724,0.0,0.0 
 09/10  11:00:00,367.8844722953621,367.8844722953621,367.8844722953621,285.7769004860222,157.07962798103683,157.07962798103683,498.7817978132566,220.73068337721726,171.4661402916133,94.2477767886221,94.2477767886221,299.2690786879539,0.0,0.0 
 09/10  12:00:00,574.5788664776832,574.5788664776832,574.5788664776832,200.10678351810453,133.99545104478086,136.45247108702064,712.6390899480646,344.74731988660997,120.0640701108627,80.3972706268685,81.87148265221238,427.58345396883876,0.0,1053.724754539046 
 09/10  13:00:00,633.7241364061967,633.7241364061967,633.7241364061967,125.27956421421423,125.27956421421423,287.7905893461443,814.6205278718555,380.2344818437181,75.16773852852855,75.16773852852855,172.6743536076866,488.7723167231133,0.0,2795.664673993855 
 09/10  14:00:00,566.6139950754581,566.6139950754581,566.6139950754581,111.80484524702189,111.80484524702189,496.29258739128877,738.8019460938524,339.96839704527488,67.08290714821313,67.08290714821313,297.7755524347733,443.2811676563114,0.0,3509.3265123870856 
 09/10  15:00:00,421.5562355026775,421.5562355026775,421.5562355026775,96.08962768644139,96.08962768644139,604.2788835298868,560.7146633496469,252.93374130160653,57.65377661186483,57.65377661186483,362.56733011793207,336.4287980097881,0.0,3160.414333448167 
 09/10  16:00:00,258.4389912934372,258.4389912934372,258.4389912934372,83.0538069281915,83.0538069281915,577.4115560074138,359.7805414896614,155.0633947760623,49.832284156914898,49.832284156914898,346.44693360444827,215.86832489379683,0.0,2243.797568314177 
 09/10  17:00:00,120.65751559325752,120.65751559325752,120.65751559325752,60.34266697799206,60.34266697799206,446.26998906390738,198.49481319085158,72.3945093559545,36.20560018679523,36.20560018679523,267.76199343834437,119.09688791451095,0.0,1342.123282742104 
 09/10  18:00:00,31.95309498805915,31.95309498805915,31.95309498805915,29.683177335943296,33.46047314156457,186.1727094893465,67.8029170356698,19.171856992835488,17.809906401565976,20.076283884938744,111.70362569360788,40.68175022140188,0.0,674.8460288836346 
 09/10  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.5703753650908 
 09/10  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/10  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/11  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
