Date/Time,SOUTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WINDOW LEFT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUWTH WINDOW RIGHT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly) 
 09/22  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.518536546279767 
 09/22  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.82425107364175 
 09/22  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.086331422298647 
 09/22  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.391319759576537 
 09/22  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.815867006912606 
 09/22  06:00:00,5.5311119124622218,5.5311119124622218,5.5311119124622218,43.68075083480972,4.261715447059982,4.261715447059982,8.195705801021847,17.352757978781218 
 09/22  07:00:00,100.14943491048018,100.14943491048018,100.14943491048018,396.56762498438766,44.102771378785117,44.102771378785117,111.65598511598816,16.57425997709231 
 09/22  08:00:00,330.52621185961768,330.52621185961768,330.52621185961768,783.0913461127321,92.22956940412064,92.22956940412064,338.3343708226519,17.902065617119037 
 09/22  09:00:00,542.9231547308163,542.9231547308163,542.9231547308163,834.5941069213795,116.12444564543626,116.12444564543626,544.1169078821771,22.32743526553614 
 09/22  10:00:00,692.4256965757296,692.4256965757296,692.4256965757296,689.1163471585957,134.53518559814874,134.53518559814874,697.754235240137,29.631975512675007 
 09/22  11:00:00,784.0276582865397,784.0276582865397,784.0276582865397,463.2789857372218,138.68741810279946,138.68741810279946,791.0057391879623,37.79156380347466 
 09/22  12:00:00,801.6620917042917,801.6620917042917,801.6620917042917,208.7268014006376,140.3266149227335,150.49625948535857,821.4978474764246,46.010988117926867 
 09/22  13:00:00,774.409238630161,774.409238630161,774.409238630161,131.5776422959218,131.5776422959218,333.1780498505211,789.8099726961942,53.252925502476518 
 09/22  14:00:00,689.7526966513108,689.7526966513108,689.7526966513108,115.18557844329537,115.18557844329537,551.5702641247852,697.1166682847082,58.491838652807249 
 09/22  15:00:00,550.880614417016,550.880614417016,550.880614417016,89.64927658237737,89.64927658237737,705.3178607001325,548.5984465867298,61.18503865927825 
 09/22  16:00:00,370.32693959906745,370.32693959906745,370.32693959906745,60.499390321842408,60.499390321842408,753.3654722834841,359.29331788831316,61.01657059548879 
 09/22  17:00:00,179.32070167585736,179.32070167585736,179.32070167585736,41.00880048736832,41.00880048736832,620.5140252330557,165.65901750533633,58.05203072970035 
 09/22  18:00:00,32.48561685529316,32.48561685529316,32.48561685529316,16.681584473578238,16.681584473578238,209.5750872677651,34.98877905419428,53.59528750078964 
 09/22  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.91753097000347 
 09/22  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.47906500553894 
 09/22  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35329020932614 
 09/22  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45639013295357 
 09/22  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.042400050652037 
 09/22  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.999738879390617 
 09/23  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25533766260363 
 09/23  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.633686977087508 
 09/23  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.481743386248913 
 09/23  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.488386987474578 
 09/23  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.476250954961217 
 09/23  06:00:00,5.377314012363022,5.377314012363022,5.377314012363022,41.85107692923665,4.053743793156824,4.053743793156824,7.809955885903795,16.558545504387518 
 09/23  07:00:00,98.16866597792157,98.16866597792157,98.16866597792157,386.6562937985907,42.59323137792007,42.59323137792007,108.26048032952339,15.271194759683266 
 09/23  08:00:00,328.4764969669541,328.4764969669541,328.4764969669541,777.0228296131199,90.9385200889366,90.9385200889366,335.09042585936148,16.626674052964164 
 09/23  09:00:00,542.2370643350279,542.2370643350279,542.2370643350279,832.4604419061105,115.3326132576959,115.3326132576959,542.553151785716,21.529332839359769 
 09/23  10:00:00,692.2374788504302,692.2374788504302,692.2374788504302,688.0917228851284,133.86431912255785,133.86431912255785,696.8407933208167,28.625718058723053 
 09/23  11:00:00,784.2002161018887,784.2002161018887,784.2002161018887,462.5992679899405,138.0975287269995,138.0975287269995,790.5368989316923,36.46551741580767 
 09/23  12:00:00,801.5008701556909,801.5008701556909,801.5008701556909,208.11212860674488,139.81890539519143,150.01970361956095,820.8724976981009,43.95417166521614 
 09/23  13:00:00,774.9314271123881,774.9314271123881,774.9314271123881,131.29662038311705,131.29662038311705,333.13120212193868,790.1113881328279,50.68162747661842 
 09/23  14:00:00,689.0031578750437,689.0031578750437,689.0031578750437,114.3854633482531,114.3854633482531,550.6727214557818,696.2229044796869,55.81902996370603 
 09/23  15:00:00,549.8077101366435,549.8077101366435,549.8077101366435,88.75662236109437,88.75662236109437,703.9573244243437,547.5926544828023,58.57114687071283 
 09/23  16:00:00,369.3796489628662,369.3796489628662,369.3796489628662,60.12119194303098,60.12119194303098,751.4259810066592,358.5370305799265,58.59356302597734 
 09/23  17:00:00,178.86930247933436,178.86930247933436,178.86930247933436,41.019038863954339,41.019038863954339,617.4243183742823,165.240027790878,55.753243020434528 
